,,
,,
,,
,,
,,
,,
,,
,,
,,
WayPoint,Stage,Latitude,Longitude,WPLatitude,WPLongitude,CompassBearing,GPSBearing,GPSBearingMA,BearingGoal,BearingError,Turn,Speed,GPS Accu,Dist WP
1,3,-37.591399,145.1211715,-37.5913455,145.1211188,325,321.5,318,321.9,3.1,-3.1,40,1078,7.542817352
1,3,-37.59139533,145.1211675,-37.5913455,145.1211188,325,319,318.7333333,322.1,2.9,-2.9,40,1071,7.004652159
1,3,-37.59139183,145.1211637,-37.5913455,145.1211188,324,318.9,319.8,322.4,1.6,-1.6,40,1062,6.490246586
1,3,-37.59138817,145.1211602,-37.5913455,145.1211188,322,322.8,320.2333333,322.4,-0.4,0.4,40,1058,5.979215159
1,3,-37.591385,145.1211565,-37.5913455,145.1211188,320,317.3,319.6666667,322.8,-2.8,2.8,40,1054,5.503308906
1,3,-37.59138167,145.1211528,-37.5913455,145.1211188,322,318.8,319.6333333,323.2,-1.2,1.2,40,1050,5.012957499
1,3,-37.59137817,145.1211493,-37.5913455,145.1211188,324,321.5,319.2,323.4,0.6,-0.6,40,1049,4.516764415
1,3,-37.5913745,145.1211458,-37.5913455,145.1211188,323,322.8,321.0333333,323.5,-0.5,0.5,40,1049,4.005753463
1,3,-37.59137067,145.1211423,-37.5913455,145.1211188,326,324,322.7666667,323.4,2.6,-2.6,40,1053,3.479886607
1,3,-37.59136667,145.1211388,-37.5913455,145.1211188,328,325.2,324,323.1,4.9,-4.9,40,1055,2.939222977
1,3,-37.5913625,145.121135,-37.5913455,145.1211188,325,323.8,324.3333333,322.9,2.1,-2.1,40,1060,2.366149668
1,3,-37.59135883,145.1211315,-37.5913455,145.1211188,326,322.8,323.9333333,322.9,3.1,-3.1,40,1063,1.855107261
1,3,-37.59135533,145.1211282,-37.5913455,145.1211188,325,322.8,323.1333333,322.9,2.1,-2.1,40,1064,1.367697923
1,3,-37.59135167,145.1211248,-37.5913455,145.1211188,327,324.1,323.2333333,322.3,4.7,-4.7,40,1066,0.865589606
2,1,-37.5913485,145.1211217,-37.5912455,145.1212188,326,321.5,322.8,36.9,61,-60,0,1062,14.29439517
2,1,-37.59134733,145.1211197,-37.5912455,145.1212188,349,306.2,317.2666667,37.8,62,-60,0,1067,14.29855791
2,1,-37.59134717,145.1211178,-37.5912455,145.1212188,16,276.5,301.4,38.3,63,-60,0,1069,14.38378752
2,1,-37.591345,145.1211172,-37.5912455,145.1212188,50,346.2,309.6333333,39.1,64,60,0,1067,14.23299185
2,1,-37.59134483,145.1211165,-37.5912455,145.1212188,34,287.4,303.3666667,39.3,65,0,20,1063,14.25589833
2,2,-37.591344,145.1211175,-37.5912455,145.1212188,29,43.7,225.7666667,39.3,66,0,20,1064,14.12838255
2,2,-37.59134317,145.1211192,-37.5912455,145.1212188,32,57.9,129.6666667,39.1,67,0,20,1062,13.96368351
2,2,-37.59134167,145.1211213,-37.5912455,145.1212188,33,49,50.2,38.9,-5.9,5.9,40,1065,13.71388828
2,3,-37.59133933,145.121125,-37.5912455,145.1212188,32,51.4,52.76666667,38.5,-6.5,6.5,40,1067,13.30929708
2,3,-37.591337,145.1211298,-37.5912455,145.1212188,32,58.8,53.06666667,37.7,-5.7,5.7,40,1061,12.84202066
2,3,-37.59133517,145.121135,-37.5912455,145.1212188,35,66,58.73333333,36.6,-1.6,1.6,40,1062,12.40406575
2,3,-37.59133333,145.12114,-37.5912455,145.1212188,34,65.3,63.36666667,35.5,-1.5,1.5,40,1070,11.97949045
2,3,-37.59133133,145.121145,-37.5912455,145.1212188,40,63.3,64.86666667,34.4,5.6,-5.6,40,1083,11.54450327
2,3,-37.59132933,145.1211498,-37.5912455,145.1212188,36,62.5,63.7,33.2,2.8,-2.8,40,1099,11.12252903
2,3,-37.591327,145.1211547,-37.5912455,145.1212188,42,58.8,61.53333333,32.1,9.9,-9.9,40,1111,10.67417707
2,3,-37.591325,145.1211593,-37.5912455,145.1212188,37,61.7,61,30.8,6.2,-6.2,40,1120,10.26985998
2,3,-37.591323,145.121164,-37.5912455,145.1212188,38,61.7,60.73333333,29.4,8.6,-8.6,40,1123,9.871184012
2,3,-37.59132,145.1211685,-37.5912455,145.1212188,34,50,57.8,28.3,5.7,-5.7,40,1127,9.387847472
2,3,-37.5913165,145.1211727,-37.5912455,145.1212188,33,43.4,51.7,27.4,5.6,-5.6,40,1130,8.872554702
2,3,-37.59131317,145.1211762,-37.5912455,145.1212188,32,39.9,44.43333333,26.6,5.4,-5.4,40,1133,8.402570241
2,3,-37.59130967,145.12118,-37.5912455,145.1212188,33,41.1,41.46666667,25.7,7.3,-7.3,40,1135,7.904579017
2,3,-37.5913065,145.1211842,-37.5912455,145.1212188,33,46.3,42.43333333,24.3,8.7,-8.7,40,1139,7.430413124
